ID,Nombre,Presupuesto,Lider_ID,Equipo_ID
1,Payments API,85000.0,1,"1,2,4,5,9,13,15,18,26,29"
2,Marketing Web,72000.0,19,"19,21,6,20,17,8,14,12,28,30"
3,Data Migration,95000.0,4,"4,1,13,5,9,10,22,26,28,30"
4,Mobile App,110000.0,11,"11,6,7,18,2,17,14,27,29,30"
5,Cloud Infrastructure,125000.0,15,"15,9,10,22,4,13,26,1,28,30"
6,CRM System,98000.0,8,"8,16,23,20,19,21,12,14,28,30"
7,Analytics Dashboard,82000.0,5,"5,17,14,25,1,9,13,26,29,30"
8,Security Audit,78000.0,10,"10,9,27,15,4,1,22,26,28,30"
9,API Gateway,92000.0,26,"26,1,18,22,9,4,13,15,28,30"
10,DevOps Pipeline,88000.0,15,"15,4,13,7,1,9,22,26,28,30"
11,User Portal,75000.0,2,"2,6,18,17,8,14,27,29,12,30"
12,Inventory System,68000.0,13,"13,5,28,24,1,9,22,26,12,30"
13,Chat Application,85000.0,18,"18,11,7,27,2,6,17,14,29,30"
14,Reporting Tool,62000.0,14,"14,16,25,5,1,9,13,26,28,30"
15,Email Campaign,52000.0,19,"19,21,20,23,6,8,12,14,28,30"
16,Employee Portal,72000.0,25,"25,23,12,16,8,14,17,27,29,30"
17,Payment Gateway,105000.0,1,"1,9,10,26,4,13,15,22,28,30"
18,Sales Dashboard,58000.0,3,"3,20,19,8,21,6,14,12,28,30"
19,Training Platform,55000.0,23,"23,12,17,14,8,28,27,29,6,30"
20,Network Upgrade,92000.0,22,"22,15,9,4,10,13,26,1,28,30"
21,Backup System,65000.0,13,"13,4,22,28,1,9,15,26,12,30"
22,Client Portal,78000.0,2,"2,6,17,8,18,14,27,29,12,30"
23,Monitoring Tools,72000.0,10,"10,15,7,27,4,13,22,26,28,30"
24,Code Review,48000.0,29,"29,1,18,30,9,13,26,7,27,28"
25,Database Optimization,75000.0,13,"13,5,1,26,9,4,15,22,28,30"
26,Load Testing,58000.0,7,"7,27,28,14,1,9,13,26,12,30"
27,Documentation,38000.0,12,"12,29,16,21,14,8,27,6,17,30"
28,CI/CD Pipeline,78000.0,15,"15,4,22,13,1,9,26,28,7,30"
29,Authentication System,72000.0,10,"10,1,9,26,4,13,15,22,28,30"
30,Performance Tuning,68000.0,26,"26,5,13,7,1,9,15,22,28,30"
